Choose the category that suits you most.,Gender,What is your current age (in years)?,How long have you worked in community health (In years),What is your marital status,Highest level of education completed,"Are you aware of any national community health policies, strategies or guidelines (e.g., Community Health Strategy, 2021-2025)?","Have you received any orientation on any community health policies, guidelines or strategies in the last 2 years?","In your opinion, how clearly are community health policies, guidelines or strategies communicated to CHAs?","To what extent are the community health policies, guidelines and/or strategies being implemented in your subcounty/county?",The CHC held at least one meeting in the last quarter.,The CHC participated in preparing the CHU annual work plan and/or operational plan.,The CHC coordinated or participated in a community dialogue day or health action day in the last 6 months.,The CHC was involved in mobilizing resources to support community health services in the past year.,Which areas of policy implementation face the greatest challenges? : Management and coordination of community health activities,Clarity of the role of CHPs,Supplies and commodities,Supportive supervision,Community unit functionality,Funding for community health activities,How did you access training to become a Community Health Assistant?: Enrolled through a formal training institution (college/university),Selected and trained by county government,Trained through a partner/NGO programme,Upgraded or transitioned from another health cadre,On-the-job training without formal enrolment,Other (please specify),What was the total duration of your training programme?,"In your opinion, was the duration of the training adequate for the CHA role?",How relevant was the training content to your actual day-to-day work as a CHA?,"How well did your training prepare you for the following responsibilities?: Supervising, on-boarding, training and mentoring CHPs",Coordinating community units,Supporting service delivery,Managing and validating community data,Serving as a link to health facilities,What is the nature of your current engagement as a Community Health Assistant (CHA)?,Other (please specify),"Employment terms and conditions:My salary, allowances and benefits are clearly defined.","My salary, allowances and benefits are well aligned with my role and responsibilities.","My salary, allowances and benefits are similar to my colleagues with similar qualifications doing similar jobs.",I feel secure in my current employment.,The terms of my employment positively influence my morale and decision to remain in my current employment.,My employment terms clearly states my roles and responsibilities.,My employment terms clearly states my entitlements.,Performance management: Clear job descriptions standards and performance expectations exist and utilized.,Supportive supervision is practiced.,Periodic performance evaluations are carried out.,Reward and recognition systems are in place.,Felt in the way stated over the last two weeks : I have felt cheerful and in good spirits.,I have felt calm and relaxed.,I have felt active and vigorous.,I woke up feeling fresh and rested.,My daily life has been filled with things that interest me.,Are you aware of dedicated county budget lines for community health?,Role of partner funding in supporting community health work,In which ways have partners supported community health workers (CHWs) in your area?: Training and capacity building,Provision of stipends or top-up allowances,"Provision of tools and equipment for service delivery(e.g. BP machines, phones, Airtime)",Support for data collection and reporting systems,Support for supervision and mentorship,Community outreach and mobilization activities,Health commodities and supplies,Transport or facilitation for field activities,Other (please specify),Do you receive an income?,Income and incentives: My salary is commensurate with the work I do.,The payment system in my workplace is reliable.,Allowances are fairly applied at my workplace.,The facility attached supports teamwork among community units staff.,I feel supported by my employer to pursue personal development.,I receive recognition for the work done.,The incentives available make me feel motivated to continue working at my current workplace.,What non-financial incentives do CHAs receive?: Uniforms / badges,Phone,Airtime,Transport support,Recognition events,Training opportunities,None,Other (please specify),What data collection tools do CHAs use?: MOH Registers,Activity reporting forms,Digital tools (e-CHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do CHAs submit reports?,How would you rate data accuracy and completeness?,Is community-level data used for decision-making?,Who uses the data?: CHPs,CHAs,Facility staff,County HR or Planning,Partners,National programs,Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health workforce,Female,18-24,0 - 2,Single,Tertiary (Certificate),Yes,No,Somewhat clearly,Moderately implemented,Yes,Yes,Yes,Yes,1,3,4,5,6,2,Enrolled through a formal training institution (college/university),,,,,,2 years,Very adequate,Very relevant,Excellent,Excellent,Excellent,Excellent,Excellent,Volunteer (unpaid),,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree not disagree,Neither agree not disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Less than half of the time (2),Less than half of the time (2),More than half of the time (3),Some of the time (1),Some of the time (1),No,"Yes, partially",Training and capacity building,Provision of stipends or top-up allowances,"Provision of tools and equipment for service delivery(e.g. BP machines, phones, Airtime)",Support for data collection and reporting systems,Support for supervision and mentorship,Community outreach and mobilization activities,Health commodities and supplies,Transport or facilitation for field activities,,"No, i do not receive",Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,,,,,,Training opportunities,,,MOH Registers,Activity reporting forms,Digital tools (e-CHIS),Partner tools,,Partial,Monthly,Accurate,"Yes, regularly",,CHAs,Facility staff,County HR or Planning,Partners,National programs,Fully integrated,Yes,Yes,Likely,They might embrace it since it would be cheaper and easier to get while others will reject it believing it's not the same as imported one.,Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,,,,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",
Community health workforce,Male,18-24,0 - 2,Single,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health workforce,Female,18-24,0 - 2,Single,Tertiary (Diploma),Yes,No,Somewhat clearly,To a large extend implemented,Yes,Yes,Yes,Yes,3,2,1,4,5,6,Enrolled through a formal training institution (college/university),,,,,,More than 2 years,Very adequate,Very relevant,Excellent,Excellent,Excellent,Excellent,Good,Other (please specify),None,Neither agree not disagree,Neither agree not disagree,Neither agree not disagree,Neither agree not disagree,Neither agree not disagree,Neither agree not disagree,Neither agree not disagree,Agree,Agree,Agree,Agree,Most of the time (4),Most of the time (4),Some of the time (1),Some of the time (1),Most of the time (4),Yes,"Yes, Majorly",,,"Provision of tools and equipment for service delivery(e.g. BP machines, phones, Airtime)",,,,,,,"No, i do not receive",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,Recognition events,,,,,,Digital tools (e-CHIS),,,Partial,Monthly,Accurate,"Yes, regularly",,CHAs,,,,,Fully integrated,Don't Know,Yes,Neutral,They will have different responses,Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,,,,,,
Community health workforce,Male,18-24,0 - 2,Single,Tertiary (Diploma),Yes,Yes,Very clearly,Moderately implemented,Yes,Yes,Yes,No,3,1,2,4,5,6,Enrolled through a formal training institution (college/university),,,,,,More than 2 years,Very adequate,Relevant,Good,Good,Excellent,Good,Good,Volunteer (unpaid),,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,All of the time (5),Most of the time (4),Most of the time (4),Most of the time (4),More than half of the time (3),Yes,Minimal,,,,,,Community outreach and mobilization activities,,,,"No, i do not receive",Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,,,,,,Training opportunities,,,MOH Registers,,,,,Yes,Monthly,Accurate,"Yes, regularly",,,Facility staff,,,,Partially integrated,No,Yes,Very Unlikely,"They will feel relieved from external vacation, encouraging them to use there own products ",Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,,,,,,
Community health workforce,Female,25-34,0 - 2,Single,Tertiary (Diploma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health workforce,Female,18-24,0 - 2,Prefer not to say,Tertiary (Diploma),Not sure,Yes,Very clearly,Moderately implemented,Yes,Yes,Yes,Yes,3,1,2,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health workforce,Female,18-24,0 - 2,Single,Tertiary (Diploma),Yes,Yes,Very clearly,Fully implemented,Yes,Yes,Yes,Yes,1,2,3,4,5,6,Enrolled through a formal training institution (college/university),,,,,,2 years,Adequate,Very relevant,Excellent,Excellent,Excellent,Excellent,Excellent,Volunteer (unpaid),,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Some of the time (1),Some of the time (1),Some of the time (1),Some of the time (1),Some of the time (1),Not sure,"Yes, Majorly",,,"Provision of tools and equipment for service delivery(e.g. BP machines, phones, Airtime)",,,,,,,"No, i do not receive",Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,Airtime,,,,,,MOH Registers,,,,,Partial,Weekly,Very Accurate,"Yes, regularly",,CHAs,Facility staff,,Partners,,Fully integrated,Yes,Yes,Likely,"Not sure, can't talk for them.",Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,,,,,,
Community health workforce,Male,18-24,0 - 2,Single,Tertiary (Undergraduate),No,No,Not so clearly,Moderately implemented,No,I don't know/CHC does not exist,I don't know/CHC does not exist,I don't know/CHC does not exist,4,3,1,2,5,6,,,Trained through a partner/NGO programme,Upgraded or transitioned from another health cadre,,School ,Less than 1 year,Neither adequate nor inadequate,Somewhat relevant,Neutral,Good,Poor,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health workforce,Female,35-44,Above 10 years,Married,Tertiary (Diploma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health workforce,Female,35-44,Above 10 years,Married,Tertiary (Certificate),Yes,Yes,Very clearly,Moderately implemented,Yes,Yes,Yes,Yes,2,6,1,3,5,4,,,,Upgraded or transitioned from another health cadre,,,1 year,Adequate,Relevant,Good,Good,Good,Good,Good,Permanent and pensionable,,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Some of the time (1),Some of the time (1),Some of the time (1),Some of the time (1),Some of the time (1),No,Minimal,Training and capacity building,,,,Support for supervision and mentorship,Community outreach and mobilization activities,,Transport or facilitation for field activities,,"Yes, i receive but not regularly",Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,,,,,,Training opportunities,,,MOH Registers,Activity reporting forms,Digital tools (e-CHIS),,,Yes,Monthly,Accurate,"Yes, regularly",,,,,,National programs,Fully integrated,No,No,Likely,Supportive ,Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,,Assure and Communicate Product Quality,,,,
