Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,Above 44,09-Oct,Single,Yes,Tertiary (Undergraduate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Slightly,Neither high nor low quality,1,2,4,5,3,7,8,6,10,9,Extremely clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,,,,,Adequate,Sometimes,1. Some of the CHPs have no adequate health/medical knowledge and skills for sone roles.,Formal contract from the government,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,Yes,Table banking ,Not so effective,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,0 - 2,Married,Yes,Tertiary (Undergraduate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,,,,,"HIV, TB and Malaria",,Yes,Extremely,High quality,2,1,3,5,6,10,4,8,7,9,Very clear,"Yes, occasionally",Good,Agree,Weekly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Adequate,Usually,"Inadequate tools and equipments, some household are remote hence hard to access",Letter of assignment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,"Yes, Partially",Yes,Farming ,Not so effective,3,4,1,5,2,,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Partially,Weekly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,20 - 24,0 - 2,Single,No,Tertiary (Undergraduate),Other (please specify),Sport physiotherapist ,,,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,,,,Sometimes,,,,Mental Health,,Data management and digital reporting,Community engagement,Physiotherapist ,Community engagement,,No,Not at all,Neither high nor low quality,3,1,2,4,5,10,7,6,8,9,Somewhat clear,"Yes, frequently",Poor,Disagree,Rarely,,,,Partner staff,,,Inadequate,Sometimes,"Lack of enough resources,lack of knowledge ",Volunteer,"No, i do not receive",,,,,,,,,,Fare/Transport support/means of transport,,Training opportunities,,"Yes, Partially",No,,,3,2,1,5,4,,,,Partner tools,,No,Irregularly,Very poor,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Single,Prefer not to say,Tertiary (Undergraduate),NGO-led training,,,Community Governance and Leadership,,,,,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,,,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,Mental Health,WASH,Data management and digital reporting,,,Data management and digital reporting,,Yes,Slightly,Very high quality,1,4,3,2,8,6,7,9,10,5,Very clear,Rarely,Good,Strongly disagree,Weekly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Chews,Adequate,Rarely,None,Formal contract from partners,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,Minimal,Yes,None,Somewhat effective,2,1,4,3,5,,Activity reporting forms,Digital tools (eCHIS),,,Partially,Weekly,Fair,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,20 - 24,0 - 2,Single,No,Tertiary (Undergraduate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,,,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,,,,,Sometimes,,,Non communicable diseases (NCDs),,WASH,,,,WASH,,Yes,Extremely,Very high quality,7,1,2,3,4,9,8,5,6,10,Extremely clear,Rarely,Good,Strongly agree,Monthly,CHEWs/CHAs,,Community health focal persons,,,,Adequate,Always,Lack of referral bks,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Adequate,,,,,,,Training opportunities,,"Yes, majorly",Yes,Table Banking ,Very effective,1,2,4,3,5,,,Digital tools (eCHIS),,,Yes,Monthly,Excellent,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Mental Health,,Yes,Extremely,Very high quality,1,2,3,4,5,7,8,9,10,6,Very clear,"Yes, frequently",Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,"Acceptance from the community, language barrier, attitude, misunderstanding, poverty ",Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Adequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, majorly",No,,,1,5,3,2,4,,,Digital tools (eCHIS),,,Yes,Monthly,Excellent,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Tertiary (Undergraduate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Tertiary (Undergraduate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
