Choose the category that suits you most.,Area of Study,What is your current level of study?,What year of study are you in?,In which county is your institution located?,What is the ownership nature of your institution?,How satisfied are you with the quality of training provided in your course?,Training Aspects:Teaching quality,Clinical exposure,Assessment Methods,Learning Resources,Support from faculty,How do you perceive your career opportunities after qualification?,How satisfied are you with expected remuneration after qualification?,How do you view your prospects for career progression after qualification?,Who played the strongest role in influencing your decision to choose your current course?,Other (please specify),Did you receive any structured career guidance before choosing this course?,How satisfied were you with the career guidance you received before selecting this course?,"In hindsight, do you feel the guidance you received was sufficient to help you make an informed decision?",What type of additional guidance would have better supported your career choice?,Other (please specify),Was a health science course your first choice?,Factors in your career choice:Personal interest,Work-life balance,Income and job security,Prestige,Family expectations,Opportunities for advancement,Desire to serve the society,Where do you intend to work after graduation?,How likely are you to seek employment outside Kenya within the first 5 years after graduation?,"If you intend to migrate, please rank the following reasons in order of importance : Better remuneration",Better working conditions,Career growth opportunities,Desire for specialization training,Family relocation,Political/economic stability,Personal preference,"Knowing what you know now, would you still choose to study the same course?",Have you ever considered dropping out of the health science course?,Affect your medical training experience: Stress,Long journey/commute,Feeling emotionally drained,High workload,Frequent examinations,High faculty demands,Dislocation from family and friends,Financial strains,Loss of interest in the course,Inadequate role models,Experience of verbal or physical violence,I feel supported by my institution,I am confident in my clinical skills,Would you recommend this course to a friend or family member?
Student,Nursing and midwifery,Diploma,2nd,Kiambu,Public,Neither satisfied nor dissatisfied,Neutral,Good,Poor,Poor,Poor,Poor,Neither satisfied nor dissatisfied,Neutral,Parents/Family,,"No, I did not receive career guidance",,,,,No,Important,Moderately important,Very Important,Important,Important,Important,Very Important,Abroad,Likely,4,1,2,5,7,6,3,Yes,Sometimes,2,4,5,1,3,6,7,8,9,10,11,Disagree,Neutral,No
Student,Clinical Medicine,Diploma,1st,Kiambu,Private for profit,Satisfied,Good,Good,Good,Neutral,Poor,Neutral,Dissatisfied,Neutral,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,Information on remuneration and working conditions,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Important,Undecided,Likely,1,3,2,4,5,6,7,Yes,Never,1,7,3,4,5,6,8,2,9,10,11,Neutral,Agree,Yes
Student,Nursing and midwifery,Diploma,3rd,Isiolo,Public,Satisfied,Good,Neutral,Neutral,Neutral,Good,Good,Dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Yes,Important,Moderately important,Important,Moderately important,Important,Very Important,Important,Abroad,Very unlikely,1,2,4,3,5,6,7,Yes,Never,1,2,3,4,5,6,7,8,9,10,11,Neutral,Agree,Yes
Student,Community health ,Diploma,3rd,Isiolo,Public,Satisfied,Good,Good,Good,Good,Good,Very Poor,Neither satisfied nor dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Important,Important,Important,Important,Very Important,In my home country,Likely,4,3,1,6,7,5,2,No,Sometimes,1,3,2,9,7,10,8,6,4,5,11,Agree,Agree,No
Student,Nursing and midwifery,Diploma,2nd,Isiolo,Public,Satisfied,Good,Good,Good,Neutral,Neutral,Neutral,Neither satisfied nor dissatisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Undecided,Very likely,1,2,3,4,7,5,6,Yes,Never,3,4,2,7,10,6,8,1,11,5,9,Neutral,Neutral,Yes
Student,Medicine and Surgery,Diploma,2nd,Isiolo,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,In my home country,Likely,4,2,3,1,6,7,5,Yes,Never,2,10,1,3,9,5,6,4,11,7,8,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Satisfied,Good,Neutral,Good,Good,Neutral,Poor,Neither satisfied nor dissatisfied,Good,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Important,Very Important,Moderately important,Moderately important,Important,Very Important,In my home country,Very likely,3,4,2,1,7,6,5,Yes,Sometimes,4,8,3,1,2,5,9,6,10,7,11,Neutral,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Isiolo,Public,Very satisfied,Good,Good,Good,Good,Good,Neutral,Satisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Important,Important,Very Important,Important,Important,Very Important,Important,Abroad,Likely,1,2,3,4,5,6,7,Yes,Sometimes,1,2,3,4,5,6,7,8,9,10,11,Agree,Agree,Not Sure
Student,Nursing and midwifery,Diploma,2nd,Isiolo,Public,Very dissatisfied,Excellent,Good,Good,Good,Good,Very Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Important,Moderately important,Very Important,Important,Very Important,Very Important,Somewhat important,Abroad,Very likely,1,2,4,3,5,6,7,Yes,Sometimes,4,2,1,3,5,6,9,7,8,10,11,Disagree,Neutral,Not Sure
Student,Nursing and midwifery,Diploma,2nd,Isiolo,Public,Very dissatisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Good,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Important,Very Important,Moderately important,Moderately important,Very Important,Very Important,Very Important,Abroad,Very likely,6,3,1,5,2,4,7,Yes,Sometimes,1,2,3,4,8,6,10,5,9,11,7,Agree,Agree,Yes
